address,unripeBeans
0x1c10eD2ffe6b4228005EbAe5Aa1a9c790D275A52,2
0x1D58E9c7B65b4F07afB58c72D49979D2F2c7A3F7,5988
0x1D634ce4e77863113734158C5aF8244567355452,291413206
0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,1
0x1D7603B4173D52188b37f493107870bC9b4Ce746,1219875569
0x1Dc2Dc7110F8ee61650864ad6680fE8144b7d6F9,802
0x1dE6844C76Fa59C5e7B4566044CC1Bb9ef958714,838936442
0x1e8eBAA6D9BF90ca2800F97C95aFEDd6A64C91e2,7218
0x1f3236F64Cb6878F164e3A281c2a9393e19A6D00,1
0x1Fa208031725Cc75Fe0C92D28ce3072a86e3cEFd,601510683
0x2032d6Fa962f05b05a648d0492936DCf879b0646,1
0x20798Fd64a342d1EE640348E42C14181fDC842d8,6473
0x20A2eaaDE4B9a1b63E4fDff483dB6e982c96681B,292694808
0x20DB9F8c46f9cD438Bfd65e09297350a8CDB0F95,8568
0x21194d506Ab47C531a7874B563dFA3787b3938a5,318631452
0x214c5645d54A27c66A46734515A8F32C57268Cd9,31551
0x21501408B9E1359C1664b0A2e9F78492512ff605,1
0x218d75b17f491793a96ab4326c7875950359a80C,96
0x21DC07AFeeCF13394067E31eE32059a026449C41,3372
0x21DE18B6A8f78eDe6D16C50A167f6B222DC08DF7,2062760532690
0x21eD24C01edb72fb67f717378D1BCC72A5326E87,346209523
0x21fA512Af0cF5ab3057c7D6Fc3b9520Baa71833D,1476738055
0x223D168d318E0598d365aA1aAc78Dfa2eCA16dcf,2
0x2299BAFf6CCAA8b172e324Bcd5CDb756e7065C59,1
0x22Ba9F0902fE08bd3b6d0c1e32991B4f1387b6D9,1
0x22F92B5Cb630524aF4E6C5031249931a77c43845,1
0x2329d6d67Dc1D4dA1858e2fe839C20E7f5456081,2597
0x23b93e03e7E54b1daA9A5A7139158E7779D9f753,1
0x24294915f8b5831D710D40c277916eDC0fa0eC39,336422082
0x247FAF1c6070735423e4e7Fa02d7B2a3821A5363,49965811
0x250192A4809194B5F5Bd4724270A7DE3376d0Bb2,1
0x25Ae1F605A57bc57E88Fb9791d44594f9aB2A3B2,4792880800
0x26092F98B23D6CDdaB91ca1088fEdA19AA485dE3,1
0x26258096ADE7E73B0FCB7B5e2AC1006A854deEf6,113381800659
0x2686e2ceE8DFEE5cf15e70f3f8d73d3410654d46,7228
0x26BdC56005Dc75F59F461A03C90f8171e5CB6fc4,6741390794
0x26e33588826E867A8A5d0c0cc203a483fF6f1354,1
0x270990d832C7E0145e62e5BdF7fCE719F504D48D,1508
0x274C44d5aEcA4744eB6eF42Fede80cbee3cf2Ec5,488350
0x2814D655B6FAa4da36C8E58CCCBAEFDAfa051bE2,1
0x284A2d22620974fb416D866c18a1f3c848E7b7Bc,998019993
0x28c095d163107c5e9Ca83b932Ea14863B224D2B3,2
0x2936227dB7a813aDdeB329e8AD034c66A82e7dDE,1
0x295EFA47F527b30B45e51E6F5b4f4b88CF77cA17,7153
0x29F821148099b0C342cD9BeF9936eB716F82409E,111720027
0x2A16898b3a9124685832b752C1bdCB6Ba42b5d49,100000000
0x2A1A1D4E4257DbbA1136992577FF1b5EfDa1bB34,1
0x2A23D58Ea4b5cC2e01ef53ea5dE51447C2528F16,794
0x2Bf9b1B8cc4e6864660708498FB004E594eFC0b8,7285
0x2C6A44918f12fdeA9cd14c951E7b71Df824Fdba4,18258
0x2cD896e533983C61B0f72e6f4BbF809711AcC5CE,6974840497
0x2dAF6e1f7aEe5Bc0d88530cb9a60FE0ca86F5E67,300000000
0x2Df56902dAeD94248df3ACE6efB8a259E9Fe525f,5380750000
0x2DF6A706Ee101556D68d7e52CE4d066Fb4C9B16e,1
0x2e316b0CcCDD0fd846C9e40e3c6BEBAEbA7812A0,2
0x2e5E27c085F20ac1970cA32d25966D255Ab196d0,55638430
0x2e676e0f071376e12eD9e12a031D01B9B87F5878,68469167
0x2e95A39eF19c5620887C0d9822916c0406E4E75e,3
0x2EaacAf1468F248483Cec65254dff98FF95e3387,652
0x2Ed7E934847AE82954e4456555CD5FFBe10eb6B5,200000000
0x2F0441f249BDb0146223a2e3b60c146badd667A4,1
0x305C5E928370941BE39b76DeB770d9Be299A5fF3,1
0x30709180d8747E5BC0bD6E1BFf51baEdAB31328D,5485
0x30E8B02e0Db5A05bbfc4eEC38dD8b07cDBc96F12,1248844985
0x3116a992bA59A1f818f69fC9C80B519C2Bb915B5,851672
0x3120a7c463f7993E85Ac2a40AA7B2c8A0A9acd54,6791
0x31a9033E2C7231F2B3961aB8A275C69C182610b0,620051772
