address,stalk,seeds
0x584145Be171F646cd2a3979bA3edAE978b635465,6834,2
0x58737A9B0A8A5c8a2559C457fCC9e923F9d99FB7,42604,8
0x589b9549Dd7158f75BA43D8fCD25eFebb55F823F,1924404,370
0x597D01CdfDC7ad72c19B562A18b2e31E41B67991,150626,34
0x59D2324CFE0718Bac3842809173136Ea2d5912Ef,525448,104
0x5A2B016c641742FB97a75C0d4c22B2A637Ddf4B6,6056,2
0x5A7F487D4A9894583DE2Dbf3114F46695DD0b7F1,203160,42
0x5AcB8339D7b364dafa46746C1DB2e13BafCEAa87,21812,2
0x5C6D32CbcB99722e6295C3f1fb942F99e98394E8,43616,10
0x5CE307dc1722Ac07d2F1D98D408c7cAf9ea76A16,46256,8
0x5a2c17CEbE721e6Abd167FD0EDF9d3CE4b176A5D,31758,6
0x5a57711B103c6039eaddC160B94c932d499c6736,33906,6
0x5ab404ab63831bFcf824F53B4ac3737b9d155d90,456680,82
0x5b38C0fFd431500EBa7c8a7932FF4892F7edA64e,80276,16
0x5b45b0A5C1e3D570282bDdfe01B0465c1b332430,747420,152
0x5b9A2267a9e9B81FbF01ba10026fCB7B2F7304d3,192288,36
0x5c62FaB7897Ec68EcE66A64D7faDf5F0E139B1E7,19436,4
0x5c9d09716404556646B0B4567Cb4621C18581f94,136248,24
0x5d48f06eDE8715E7bD69414B97F97fF0706D6c71,171840,36
0x5dd28BD033C86e96365c2EC6d382d857751D8e00,34860,6
0x5dfbB2344727462039eb18845a911C3396d91cf2,70420,20
0x5eC5e26D5304EF62310b5bC46A150d15E144e122,884368,204
0x5eE72CD125e21b67ABFf81bBe2aCE39C831ce433,14744,4
0x5ea7ea516720a8F59C9d245E2E98bCA0B6DF7441,211848,42
0x5ec6bC92395bFE4dFb8F45cb129AC0c2F290F23d,34836,6
0x5f37479c76F16d94Afcc394b18Cf0727631d8F91,100216,24
0x60e8b62C7Da32ff62fcd4Ab934B75d2d28FE7501,197004,56
0x614D1D40e3b2b1601625E739bfe8Bdf85133B459,63852,12
0x61e413DE4a40B8d03ca2f18026980e885ae2b345,7010,2
0x62F96Bcc36Dccf97e1E6c4D2654d864c95d76335,11618,2
0x6301Add4fb128de9778B8651a2a9278B86761423,31602,6
0x6343B307C288432BB9AD9003B4230B08B56b3b82,138192,24
0x6363F3dA9D28C1310C2EaBdD8e57593269F03fF8,826124,156
0x63B98C09120E4eF75b4C122d79b39875F28A6fCc,23228,4
0x642c9e3d3f649f9fcCB9f28707A0260Ba1E156B1,611324,168
0x648fA93EA7f1820EF9291c3879B2E3C503e1AA61,113016,24
0x65F992c16CB989B734A1d3CCAf13713391afa6d3,161356,26
0x65cd9979bEecad572A6081FB3EC9fa47Fca2427a,138384,24
0x6609DFA1cb75d74f4fF39c8a5057bD111FBA5B22,1820,2
0x66435387dcE9f113Be44d5e730eb1C068B328E93,174272,32
0x6661b9b527F4Dad25a97ca4Fc9B29F90f0760cFF,7096,2
0x6691fB80b87b89e3Ea3E7C9a4b19FDB2d75c6aaD,96822,22
0x66B0115e839B954A6f6d8371DEe89dE90111C232,601084,130
0x66F6Ac1E4c4c8aE7D84231451126f613bFE61D98,214128,40
0x66b19A1241FD54fE74dD8E40B7df8C419492e423,46866,10
0x66e4c7e22667A6D80F0C726a160E5DeE9A37223C,15226,4
0x676E288Fb3eB22376727Ddca3F01E96d9084D8F6,822014,180
0x679B4172E1698579d562D1d8b4774968305b80b2,281932,52
0x68572eAcf9E64e6dCD6bB19f992Bdc4Eff465fd0,23008,4
0x6887b5852847dD89d4C86dFAefaB5B0B236DCD8a,57098,10
0x69B971A22dbf469f94B34Bdbad9cd863bdd222a2,32690,10
0x69b03bFC650B8174f5887B2320338b6c29150bCE,89744,16
0x69e02D001146A86d4E2995F9eCf906265aA77d85,31840,8
0x6A6d11cE4cCf2d43e61B7Db1918768c5FDC14559,215036,42
0x6CD83315e4c4bFdf95D4A8442927C018F328C9fe,31508,8
0x6D42977A60aEF0de154Dc255DE03070A690cF041,113410,18
0x6D5194ECE4C937B58EE00c4238eF61E6b98eaCE8,33690,6
0x6ECa54EE3DA212773A05a3CDd07ff4B33aD54c2b,345542,76
0x6F11CE836E5aD2117D69Aaa9295f172F554EA4C9,34848,6
0x6F9ceE855cB1F362F31256C65e1709222E0f2037,614160,156
0x6a3e09694bDF65dA8F6bF6bfaD147811100f4C40,11552,2
0x6a78E13f5d20cb584Be28Fc31EAdB66dE499a60b,28584,6
0x6a93946254899A34FdcB7fBf92dfd2e4eC1399e7,292932,52
0x6b434f8e80E8B85A63A9f4fF0A14eB9568a827c8,131516,26
0x6c3E007377eFfd74afE237ce3B0Aeef969b63C91,715776,124
0x6c76EDcD9B067F6867aea819b0B4103fF93779Fd,22604,4
0x6eec856e1661Fd6B2345380843c3603Dd7A6A94C,24600,6
0x6f77E3A2C7819C5DcF0b1f0d53264B65C4Cb7C5A,108174,18
0x6fa54cbFDc9D70829Ac9F110BB2B16D8c64fA91C,4602,2
0x706cf4Cc963e13fF6aDD75d3475dA00A27C8a565,145452,28
0x708E5804D0e930Fac266d8B3F3e13EdbA35ac86E,471124,116
0x70C61c13CcEF8c8a7E74933DfB037aae0C2bEa31,451480,104
0x70a9c497536E98F2DbB7C66911700fe2b2550900,15544,4
0x70c65accB3806917e0965C08A4a7D6c72F17651A,36872,8
0x7197225aDAD17EeCb4946480D4BA014f3C106EF8,410152,72
0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,204624,44
0x71ed04D8ee385CB1A9a20d6664d6FBcE6D6d3537,245128,56
0x7211EEaD6c7DB1D1Ebd70F5CbCd8833935A04126,1087136,256
0x721f5D24c041d02f9316245D96DAc0094429Ce53,154584,36
0x73C91af57C657DfD05a31DAcA7Bff1aEb5754629,159388,26
0x73Cbc02516f5F4945cE2F2fACf002b2c6aA359e7,53352,10
0x74231623D8058Afc0a62f919742e15Af0fb299e5,46348,8
0x7428eC5B1FAD2FFAdF855d0d2960b5D666d8e347,81072,16
0x7568614a27117EeEB6E06022D74540c3C5749B84,59590,10
0x75e6E04eB9BB5e4C1E8A57F3C6Eb89D7BfF63a14,124200,24
0x761B20137B4cE315AB9ea5fdbB82c3634c3F7515,40824,8
0x764Bd4Feb72cB6962E8446e9798AceC8A3ac1658,375960,92
0x76a014267b1D9e375D4A84554504E366C7De1167,458670,90
0x77029090e07F7D144538C74cD3B7EcF674d82f62,20544,4
0x77BD7d6D8E6cB76032FF6a96921D81a98Baf3637,229788,46
0x78320e6082f9E831DD3057272F553e143dFe5b9c,21736,4
0x78861Fb7F1BA64b2b295Cf5e69DC480cFb929B0E,15440,8
0x7893b13e58310cDAC183E5bA95774405CE373f83,989284,192
0x78a09C8B4FF4e5A73E3B7bf628BD30E6D67B0E50,94566,18
0x79441586C6C860a62492467b9D44D2649651633F,44138,8
0x7AAEE144a14Ec3ba0E468C9Dcf4a89Fdb62C5AA6,156022,34
0x7Ace5390CAa52Ea0c0D1aB408eE2D27DCE3f2711,11536,2
0x7B2d2934868077d5E938EfE238De65E0830Cf186,13842,6
